Source	Size
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/Lifecycle.scala	11541
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/HashSet.scala	11410
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/LoadedRoot.scala	11322
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagGroupEditor.scala	10967
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/Set.scala	10898
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/DataValidators.scala	10878
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/RichTextEditor.scala	10844
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Menu.scala	10653
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/create/FieldKey.scala	10601
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.12/scala/collection/immutable/RedBlackTree.scala	10467
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ProjectWidgets.scala	10378
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/prop/Prop.scala	10342
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/prop/Eval.scala	10324
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/Stream.scala	10300
file:/shipreq/webapp-base-member/shipreq/webapp/base/filter/FilterAst.scala	10297
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/ProjectIndex.scala	10206
file:/shipreq/webapp-base-member/shipreq/webapp/base/issue/IssueDetectors.scala	10133
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagConfig.scala	9951
file:/shipreq/webapp-base-member/shipreq/webapp/base/protocol/websocket/ProjectSpaProtocols.scala	9735
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagRelationshipEditor.scala	9671
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/binary/v1/BaseData.scala	9667
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/ajax/CommonProtocols.scala	9634
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/ApplicableTagEditor.scala	9482
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/reqtable/SavedViews.scala	9435
file:/shipreq/base-util/shipreq/base/util/StateEither.scala	9351
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/create/Feature.scala	9347
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/Row.scala	9257
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/Map.scala	9169
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/TextSearch.scala	8971
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/scala/scalajs/runtime/RuntimeString.scala	8892
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/Either.scala	8821
file:/shipreq/webapp-base-member/shipreq/webapp/base/feature/PreviewFeature.scala	8748
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/SelectionCtrls.scala	8721
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/state/Global.scala	8688
file:/shipreq/webapp-base-member/shipreq/webapp/base/sort/Sorter.scala	8676
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Pseudo.scala	8649
https:/raw.githubusercontent.com/scala/v2.12.10/collection/mutable/WrappedArray.scala	8492
file://Users/mathias/Documents/projects/parboiled2/parboiled-core/org/parboiled2/CharPredicate.scala	8414
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/Project.scala	8396
[EOLs]	8317
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Callback.scala	8270
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/shared/Editor.scala	8233
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/HashMap.scala	8122
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/editor/Editability.scala	8047
https:/raw.githubusercontent.com/scala-js/v0.6.32/library-aux/scala/runtime/RefTypes.scala	8020
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/NewForm.scala	7933
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/UnsavedChanges.scala	7913
https:/raw.githubusercontent.com/scala/v2.12.10/collection/generic/ImmutableSetFactory.scala	7892
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/FilterHelp.scala	7854
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/CtorType.scala	7829
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.12/scala/collection/immutable/Range.scala	7790
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/binary/SafePickler.scala	7771
file:/shipreq/base-util/shipreq/base/util/IsoBool.scala	7732
https:/raw.githubusercontent.com/japgolly/microlibs-scala/v2.0/japgolly/microlibs/nonempty/NonEmptyVector.scala	7660
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/prop/Logic.scala	7592
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Throwables.scala	7488
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/std/AnyVal.scala	7485
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqdetail/Row.scala	7461
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/IdCeilings.scala	7434
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Button.scala	7316
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/net/URI.scala	7311
file:/shipreq/base-util/shipreq/base/util/MTrie.scala	7285
file:/shipreq/webapp-base-member/shipreq/webapp/base/filter/FilterAlgebra.scala	7267
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/Logic.scala	7155
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.12/scala/reflect/Manifest.scala	7063
file:/shipreq/webapp-base/shipreq/webapp/base/lib/KeyHandler.scala	7025
file:/shipreq/webapp-base-member/shipreq/webapp/base/feature/autocomplete/ProjectStrategies.scala	7006
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/scala/scalajs/runtime/AnonFunctions.scala	6981
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/ProjectText.scala	6971
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/Px.scala	6871
file:/shipreq/webapp-base/shipreq/webapp/base/feature/dragtoreorder/Instance.scala	6839
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ImplicationEditor.scala	6836
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/reqtypes/CfgReqTypes.scala	6819
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/Layout.scala	6741
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Data.scala	6739
https:/raw.githubusercontent.com/scala/v2.12.10/collection/mutable/AnyRefMap.scala	6664
