 480,   0, 480, 2013-11-28T01:13:26Z
 459,   0, 459, 2013-11-28T01:13:26Z
 479,   0, 479, 2013-11-28T01:13:27Z
 460,   0, 460, 2013-11-28T01:13:27Z
 479,   0, 479, 2013-11-28T01:13:28Z
 461,   0, 461, 2013-11-28T01:13:28Z
 476,   0, 476, 2013-11-28T01:13:29Z
 460,   0, 460, 2013-11-28T01:13:29Z
 951,   0, 951, 2013-11-28T01:13:30Z
 920,   0, 920, 2013-11-28T01:13:31Z
 961,   1, 960, 2013-11-28T01:13:32Z
 919,   1, 918, 2013-11-28T01:13:33Z
 695,   0, 695, 2013-11-28T01:13:34Z
 921,   0, 921, 2013-11-28T01:13:34Z
 955,   1, 954, 2013-11-28T01:13:35Z
 920,   1, 919, 2013-11-28T01:13:36Z
 951,   0, 951, 2013-11-28T01:13:37Z
 920,   0, 920, 2013-11-28T01:13:38Z
 951,   0, 951, 2013-11-28T01:13:39Z
 926,   0, 926, 2013-11-28T01:13:40Z
 954,   0, 954, 2013-11-28T01:13:41Z
 920,   0, 920, 2013-11-28T01:13:42Z
 960,   0, 960, 2013-11-28T01:13:43Z
 920,   0, 920, 2013-11-28T01:13:44Z
 955,   0, 955, 2013-11-28T01:13:45Z
 928,   0, 928, 2013-11-28T01:13:46Z
 951,   0, 951, 2013-11-28T01:13:47Z
 920,   0, 920, 2013-11-28T01:13:48Z
 951,   0, 951, 2013-11-28T01:13:49Z
 921,   1, 920, 2013-11-28T01:13:49Z
 951,   0, 951, 2013-11-28T01:13:50Z
 920,   0, 920, 2013-11-28T01:13:51Z
 951,   0, 951, 2013-11-28T01:13:52Z
 920,   0, 920, 2013-11-28T01:13:53Z
 951,   0, 951, 2013-11-28T01:13:54Z
 921,   0, 921, 2013-11-28T01:13:55Z
 955,   0, 955, 2013-11-28T01:13:56Z
 920,   0, 920, 2013-11-28T01:13:57Z
 951,   0, 951, 2013-11-28T01:13:58Z
 921,   0, 921, 2013-11-28T01:13:59Z
 964,   1, 963, 2013-11-28T01:14:00Z
 920,   0, 920, 2013-11-28T01:14:01Z
 952,   0, 952, 2013-11-28T01:14:02Z
 920,   0, 920, 2013-11-28T01:14:03Z
 954,   0, 954, 2013-11-28T01:14:04Z
 922,   0, 922, 2013-11-28T01:14:04Z
 951,   0, 951, 2013-11-28T01:14:05Z
 920,   0, 920, 2013-11-28T01:14:06Z
 952,   0, 952, 2013-11-28T01:14:07Z
 920,   1, 919, 2013-11-28T01:14:08Z
 952,   1, 951, 2013-11-28T01:14:09Z
 919,   0, 919, 2013-11-28T01:14:10Z
 963,   0, 963, 2013-11-28T01:14:11Z
 920,   0, 920, 2013-11-28T01:14:12Z
 955,   0, 955, 2013-11-28T01:14:13Z
 920,   0, 920, 2013-11-28T01:14:14Z
 952,   0, 952, 2013-11-28T01:14:15Z
 920,   0, 920, 2013-11-28T01:14:16Z
 956,   0, 956, 2013-11-28T01:14:17Z
 920,   0, 920, 2013-11-28T01:14:18Z
 952,   0, 952, 2013-11-28T01:14:19Z
 920,   1, 919, 2013-11-28T01:14:19Z
 960,   1, 959, 2013-11-28T01:14:20Z
 941,   0, 941, 2013-11-28T01:14:21Z
 955,   0, 955, 2013-11-28T01:14:22Z
 922,   0, 922, 2013-11-28T01:14:23Z
 953,   1, 952, 2013-11-28T01:14:24Z
 920,   0, 920, 2013-11-28T01:14:25Z
 951,   0, 951, 2013-11-28T01:14:26Z
 920,   1, 919, 2013-11-28T01:14:27Z
 963,   0, 963, 2013-11-28T01:14:28Z
 920,   0, 920, 2013-11-28T01:14:29Z
 956,   0, 956, 2013-11-28T01:14:30Z
 920,   0, 920, 2013-11-28T01:14:31Z
 955,   0, 955, 2013-11-28T01:14:32Z
 919,   0, 919, 2013-11-28T01:14:33Z
 951,   0, 951, 2013-11-28T01:14:34Z
 920,   0, 920, 2013-11-28T01:14:34Z
 958,   0, 958, 2013-11-28T01:14:35Z
 921,   0, 921, 2013-11-28T01:14:36Z
 953,   0, 953, 2013-11-28T01:14:37Z
 920,   0, 920, 2013-11-28T01:14:38Z
 952,   1, 951, 2013-11-28T01:14:39Z
 921,   0, 921, 2013-11-28T01:14:40Z
 954,   0, 954, 2013-11-28T01:14:41Z
 920,   0, 920, 2013-11-28T01:14:42Z
 956,   1, 955, 2013-11-28T01:14:43Z
 925,   0, 925, 2013-11-28T01:14:44Z
 963,   0, 963, 2013-11-28T01:14:45Z
 919,   0, 919, 2013-11-28T01:14:46Z
 955,   0, 955, 2013-11-28T01:14:47Z
 920,   0, 920, 2013-11-28T01:14:48Z
 952,   0, 952, 2013-11-28T01:14:49Z
 920,   0, 920, 2013-11-28T01:14:49Z
 952,   0, 952, 2013-11-28T01:14:50Z
 920,   0, 920, 2013-11-28T01:14:51Z
 959,   0, 959, 2013-11-28T01:14:52Z
 921,   0, 921, 2013-11-28T01:14:53Z
 955,   0, 955, 2013-11-28T01:14:54Z
 920,   0, 920, 2013-11-28T01:14:55Z

